pass,state,query,run,ms
4,A,S1_A1,1,36555.425
4,A,S1_A1,2,29689.214
4,A,S1_A1,3,45365.390
4,A,S1_A1,4,31883.334
4,A,S1_A1,5,47085.307
4,A,S1_A1,6,59627.743
4,A,S1_A1,7,47646.924
4,A,S2_A1,1,378.747
4,A,S2_A1,2,5.684
4,A,S2_A1,3,13.016
4,A,S2_A1,4,3.260
4,A,S2_A1,5,3.376
4,A,S2_A1,6,5.179
4,A,S2_A1,7,7.829
4,A,L1_A5,1,209.546
4,A,L1_A5,2,6.388
4,A,L1_A5,3,6.083
4,A,L1_A5,4,9.852
4,A,L1_A5,5,7.205
4,A,L1_A5,6,17.304
4,A,L1_A5,7,7.071
4,A,L2_A5,1,365.890
4,A,L2_A5,2,6.690
4,A,L2_A5,3,10.389
4,A,L2_A5,4,7.415
4,A,L2_A5,5,10.593
4,A,L2_A5,6,5.097
4,A,L2_A5,7,7.018
4,A,S1_A5,1,531.429
4,A,S1_A5,2,22.598
4,A,S1_A5,3,37.572
4,A,S1_A5,4,25.686
4,A,S1_A5,5,29.717
4,A,S1_A5,6,29.341
4,A,S1_A5,7,20.896
4,A,S2_A5,1,1985.194
4,A,S2_A5,2,356.795
4,A,S2_A5,3,74.297
4,A,S2_A5,4,78.244
4,A,S2_A5,5,75.806
4,A,S2_A5,6,77.777
4,A,S2_A5,7,77.251
5,B,L1_A0,1,77.147
5,B,L1_A0,2,0.846
5,B,L1_A0,3,1.495
5,B,L1_A0,4,0.617
5,B,L1_A0,5,0.569
5,B,L1_A0,6,0.516
5,B,L1_A0,7,0.531
5,B,L2_A0,1,87.283
5,B,L2_A0,2,0.502
5,B,L2_A0,3,0.614
5,B,L2_A0,4,0.689
5,B,L2_A0,5,0.749
5,B,L2_A0,6,0.641
5,B,L2_A0,7,0.659
5,B,S1_A0,1,2574.085
5,B,S1_A0,2,1226.058
5,B,S1_A0,3,402.742
5,B,S1_A0,4,356.883
5,B,S1_A0,5,233.856
5,B,S1_A0,6,297.344
5,B,S1_A0,7,249.475
5,B,S2_A0,1,1.655
5,B,S2_A0,2,1.764
5,B,S2_A0,3,3.191
5,B,S2_A0,4,1.056
5,B,S2_A0,5,1.093
5,B,S2_A0,6,1.170
5,B,S2_A0,7,1.622
5,B,L1_A1,1,20.133
5,B,L1_A1,2,0.514
5,B,L1_A1,3,0.619
5,B,L1_A1,4,0.537
5,B,L1_A1,5,0.508
5,B,L1_A1,6,0.594
5,B,L1_A1,7,0.576
5,B,L2_A1,1,81.858
5,B,L2_A1,2,0.601
5,B,L2_A1,3,0.711
5,B,L2_A1,4,0.662
5,B,L2_A1,5,0.646
5,B,L2_A1,6,0.610
5,B,L2_A1,7,0.672
5,B,S1_A1,1,53110.936
5,B,S1_A1,2,48630.354
5,B,S1_A1,3,30329.059
5,B,S1_A1,4,62151.582
5,B,S1_A1,5,45696.029
5,B,S1_A1,6,43791.038
5,B,S1_A1,7,74119.512
5,B,S2_A1,1,67.788
5,B,S2_A1,2,1.235
5,B,S2_A1,3,1.242
5,B,S2_A1,4,1.109
5,B,S2_A1,5,1.040
5,B,S2_A1,6,1.146
5,B,S2_A1,7,1.162
5,B,L1_A5,1,15.256
5,B,L1_A5,2,0.713
5,B,L1_A5,3,0.686
5,B,L1_A5,4,0.666
5,B,L1_A5,5,0.687
5,B,L1_A5,6,0.645
5,B,L1_A5,7,0.793
5,B,L2_A5,1,4.756
5,B,L2_A5,2,0.698
5,B,L2_A5,3,0.662
5,B,L2_A5,4,1.044
5,B,L2_A5,5,0.711
5,B,L2_A5,6,0.823
5,B,L2_A5,7,0.615
5,B,S1_A5,1,723.241
5,B,S1_A5,2,43.768
5,B,S1_A5,3,24.513
5,B,S1_A5,4,26.016
5,B,S1_A5,5,32.337
5,B,S1_A5,6,26.272
5,B,S1_A5,7,29.212
5,B,S2_A5,1,2.027
5,B,S2_A5,2,1.758
5,B,S2_A5,3,1.827
5,B,S2_A5,4,1.601
5,B,S2_A5,5,1.707
5,B,S2_A5,6,1.640
5,B,S2_A5,7,1.732
